device location,device type,accuracy value,first seen date,most recent date accessed,temperature,highest value,highest date,lowest value,lowest date
HVAC return air,40,9,"January 15, 2023 03:57 PM","January 15, 2023 10:25 PM",18.8125,23.8125,"January 15, 2023 05:30 PM",-99,"January 15, 2023 06:33 PM"
3/8inch copper heat pump,40,9,"January 15, 2023 03:57 PM","January 15, 2023 10:25 PM",26.4375,29.625,"January 15, 2023 10:16 PM",-99,"January 15, 2023 06:43 PM"
3/4inch copper heat pump,40,9,"January 15, 2023 03:57 PM","January 15, 2023 10:25 PM",30.75,41.0625,"January 15, 2023 10:16 PM",-99,"January 15, 2023 06:33 PM"
Chimney flue temp,40,9,"January 15, 2023 03:57 PM","January 15, 2023 10:25 PM",18.625,23.9375,"January 15, 2023 05:30 PM",18.5,"January 15, 2023 09:09 PM"
HVAC air output,40,9,"January 15, 2023 03:57 PM","January 15, 2023 10:25 PM",20.75,29.9375,"January 15, 2023 07:24 PM",17.9375,"January 15, 2023 06:43 PM"
HVAC return air,40,9,"January 15, 2023 03:57 PM","January 15, 2023 10:25 PM",18.8125,23.8125,"January 15, 2023 05:30 PM",-99,"January 15, 2023 06:33 PM"
3/8inch copper heat pump,40,9,"January 15, 2023 03:57 PM","January 15, 2023 10:25 PM",26.4375,29.625,"January 15, 2023 10:16 PM",-99,"January 15, 2023 06:43 PM"
3/4inch copper heat pump,40,9,"January 15, 2023 03:57 PM","January 15, 2023 10:25 PM",30.6875,41.0625,"January 15, 2023 10:16 PM",-99,"January 15, 2023 06:33 PM"
Chimney flue temp,40,9,"January 15, 2023 03:57 PM","January 15, 2023 10:25 PM",18.625,23.9375,"January 15, 2023 05:30 PM",18.5,"January 15, 2023 09:09 PM"
HVAC air output,40,9,"January 15, 2023 03:57 PM","January 15, 2023 10:25 PM",20.75,29.9375,"January 15, 2023 07:24 PM",17.9375,"January 15, 2023 06:43 PM"
HVAC return air,40,9,"January 15, 2023 03:57 PM","January 15, 2023 10:25 PM",18.75,23.8125,"January 15, 2023 05:30 PM",-99,"January 15, 2023 06:33 PM"
3/8inch copper heat pump,40,9,"January 15, 2023 03:57 PM","January 15, 2023 10:25 PM",26.375,29.625,"January 15, 2023 10:16 PM",-99,"January 15, 2023 06:43 PM"
3/4inch copper heat pump,40,9,"January 15, 2023 03:57 PM","January 15, 2023 10:25 PM",30.625,41.0625,"January 15, 2023 10:16 PM",-99,"January 15, 2023 06:33 PM"
Chimney flue temp,40,9,"January 15, 2023 03:57 PM","January 15, 2023 10:25 PM",18.625,23.9375,"January 15, 2023 05:30 PM",18.5,"January 15, 2023 09:09 PM"
HVAC air output,40,9,"January 15, 2023 03:57 PM","January 15, 2023 10:25 PM",20.6875,29.9375,"January 15, 2023 07:24 PM",17.9375,"January 15, 2023 06:43 PM"
HVAC return air,40,9,"January 15, 2023 03:57 PM","January 15, 2023 10:25 PM",18.8125,23.8125,"January 15, 2023 05:30 PM",-99,"January 15, 2023 06:33 PM"
3/8inch copper heat pump,40,9,"January 15, 2023 03:57 PM","January 15, 2023 10:25 PM",26.375,29.625,"January 15, 2023 10:16 PM",-99,"January 15, 2023 06:43 PM"
3/4inch copper heat pump,40,9,"January 15, 2023 03:57 PM","January 15, 2023 10:25 PM",30.5,41.0625,"January 15, 2023 10:16 PM",-99,"January 15, 2023 06:33 PM"
Chimney flue temp,40,9,"January 15, 2023 03:57 PM","January 15, 2023 10:25 PM",18.625,23.9375,"January 15, 2023 05:30 PM",18.5,"January 15, 2023 09:09 PM"
HVAC air output,40,9,"January 15, 2023 03:57 PM","January 15, 2023 10:25 PM",20.6875,29.9375,"January 15, 2023 07:24 PM",17.9375,"January 15, 2023 06:43 PM"
HVAC return air,40,9,"January 15, 2023 03:57 PM","January 15, 2023 10:25 PM",18.8125,23.8125,"January 15, 2023 05:30 PM",-99,"January 15, 2023 06:33 PM"
3/8inch copper heat pump,40,9,"January 15, 2023 03:57 PM","January 15, 2023 10:25 PM",26.3125,29.625,"January 15, 2023 10:16 PM",-99,"January 15, 2023 06:43 PM"
3/4inch copper heat pump,40,9,"January 15, 2023 03:57 PM","January 15, 2023 10:26 PM",30.4375,41.0625,"January 15, 2023 10:16 PM",-99,"January 15, 2023 06:33 PM"
Chimney flue temp,40,9,"January 15, 2023 03:57 PM","January 15, 2023 10:26 PM",18.625,23.9375,"January 15, 2023 05:30 PM",18.5,"January 15, 2023 09:09 PM"
HVAC air output,40,9,"January 15, 2023 03:57 PM","January 15, 2023 10:26 PM",20.6875,29.9375,"January 15, 2023 07:24 PM",17.9375,"January 15, 2023 06:43 PM"
